merchant_name,category_id,category_name
Sulpak,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
Top-sale,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
TopShop,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
_ALGA_,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
biggadget,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
iSpace,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
smartmobi.kz,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
«Best Erke»,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
ИП QPICK,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
ИП Оразбаев,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
О'КЕЙ,44930,Зарядные устройства для смарт-часов и фитнес-браслетов
A-T STORE,94712,Bluetooth-трекеры
PRO MARKET,94712,Bluetooth-трекеры
Techno City,94712,Bluetooth-трекеры
Artface Сompany,85360,Аксессуары для очков виртуальной реальности
KOSMO,85360,Аксессуары для очков виртуальной реальности
MyKosmo,85360,Аксессуары для очков виртуальной реальности
Tehnogrup KZ,85360,Аксессуары для очков виртуальной реальности
ИП Aisha shop,85360,Аксессуары для очков виртуальной реальности
AVLINE ELECTRONICS,86966,Аксессуары для раций и радиостанций
T.kz,86966,Аксессуары для раций и радиостанций
ИП QPICK,96331,"Защитные пленки и стекла для смарт-часов, фитнес-браслетов"
4mobile,85404,Очки дополненной реальности
ALLO_TSUM,85404,Очки дополненной реальности
Aksuek,85404,Очки дополненной реальности
Astana-mobile,85404,Очки дополненной реальности
GIA origin,85404,Очки дополненной реальности
MobiLux,85404,Очки дополненной реальности
RRR_Shop,85404,Очки дополненной реальности
SAB_Phones,85404,Очки дополненной реальности
SYLQYM,85404,Очки дополненной реальности
Smart Space,85404,Очки дополненной реальности
TechoHub.,85404,Очки дополненной реальности
Tehnogrup KZ,85404,Очки дополненной реальности
Top Solution,85404,Очки дополненной реальности
t_mobile_kz,85404,Очки дополненной реальности
AZONSTORE.KZ,93610,Электронные переводчики
AZONSTORE.KZZ,93610,Электронные переводчики
DNA Tech,93610,Электронные переводчики
FastForward Gifts & Souvenirs,93610,Электронные переводчики
ИП Goodki,93610,Электронные переводчики
Лучший выбор,93610,Электронные переводчики
1.kz,85945,Держатели для планшетов
1music.kz,85945,Держатели для планшетов
AA-market,85945,Держатели для планшетов
BEST PRICE,85945,Держатели для планшетов
EAST BREEZE,85945,Держатели для планшетов
Fora,85945,Держатели для планшетов
Fresh breeze,85945,Держатели для планшетов
Home textile,85945,Держатели для планшетов
Krypton Almaty,85945,Держатели для планшетов
