merchant_name,root_category_id,root_category_name
GamerZ,3677,Unknown
Getmobile.pro,3677,Unknown
Gold M,3677,Unknown
Gold_Mobile,3677,Unknown
Goocstore,3677,Unknown
GoodLine,3677,Unknown
Greensmart,3677,Unknown
Gudok,3677,Unknown
HALYK-EAC 1,3677,Unknown
Hi-Tech (Хайтек),3677,Unknown
Huawei Authorized Store,3677,Unknown
ICENTER.KZ,3677,Unknown
INFINIX OFFICIAL STORE,3677,Unknown
INNOVATEC,3677,Unknown
IPZONE_KZ,3677,Unknown
IT Future Кұрылыс,3677,Unknown
Ilikan,3677,Unknown
InMarket,3677,Unknown
IrsMarket,3677,Unknown
J-Market,3677,Unknown
J-Mart,3677,Unknown
JQ_store almaty,3677,Unknown
KAZ-SHOP.NET,3677,Unknown
KRDshop,3677,Unknown
KURSORKZ,3677,Unknown
Khan Group,3677,Unknown
Khan-Tell,3677,Unknown
Kingmobile.kz,3677,Unknown
Kizash.KZ,3677,Unknown
Knopka-kz,3677,Unknown
LC GADGET,3677,Unknown
LION,3677,Unknown
Lary shop,3677,Unknown
Level,3677,Unknown
Limon.kz,3677,Unknown
Lord,3677,Unknown
Luxury,3677,Unknown
M-Mobile,3677,Unknown
M-TexNo,3677,Unknown
MAGNAT GADGET,3677,Unknown
MEGATEL,3677,Unknown
METANOIA,3677,Unknown
MF- Shamoi,3677,Unknown
MN.KZ.PHONE,3677,Unknown
MOBIBOOK,3677,Unknown
MOBILAGID,3677,Unknown
MOBILE CITY 001,3677,Unknown
MOBILS,3677,Unknown
Mansur.kz,3677,Unknown
Mari,3677,Unknown
MarketPlace,3677,Unknown
MarketShop,3677,Unknown
MaxPhoneStore,3677,Unknown
MaxiExpress,3677,Unknown
Mechta.kz,3677,Unknown
MegaGadget,3677,Unknown
MegaNetwork.kz,3677,Unknown
Meta_store,3677,Unknown
Millennium-Phone,3677,Unknown
MirGadgets,3677,Unknown
Miras,3677,Unknown
Mobi Go,3677,Unknown
MobiLux,3677,Unknown
MobilMarket,3677,Unknown
Mobile Market Almaty,3677,Unknown
Mobile Market Kz,3677,Unknown
Mobile Market1,3677,Unknown
Mobile Max,3677,Unknown
Mobile Phones,3677,Unknown
Mobile Shop,3677,Unknown
MobileMarket.Kz,3677,Unknown
MobileMe.kz,3677,Unknown
Mobile_AST,3677,Unknown
Mobile_store,3677,Unknown
Mobilion 2,3677,Unknown
Mobilix,3677,Unknown
Mobitel,3677,Unknown
Monvex,3677,Unknown
Moonee,3677,Unknown
Muslim,3677,Unknown
My Case,3677,Unknown
NBA,3677,Unknown
NNshop,3677,Unknown
NOORA,3677,Unknown
NOVOTELL,3677,Unknown
NURSHOP,3677,Unknown
NurMobile,3677,Unknown
NurPhoness,3677,Unknown
Nurtel,3677,Unknown
Oma.kz,3677,Unknown
Online_Sauda,3677,Unknown
PANDA,3677,Unknown
PIXEL,3677,Unknown
POLYAK STORE,3677,Unknown
PROSTORE,3677,Unknown
PS SHOP,3677,Unknown
Payphone,3677,Unknown
Phone Line,3677,Unknown
Phone.mobile.krg,3677,Unknown
Planetagsm,3677,Unknown
Plaphonix,3677,Unknown
Platinum,3677,Unknown
Power Plus,3677,Unknown
Price-less,3677,Unknown
Pro.mobile18,3677,Unknown
Proservis_kz,3677,Unknown
QUEEN,3677,Unknown
Qajet All,3677,Unknown
Qaz-techno,3677,Unknown
QazTech,3677,Unknown
QazTelecom,3677,Unknown
QazaQ Phone,3677,Unknown
Qmobile,3677,Unknown
Qyran Shop,3677,Unknown
RAMStore02,3677,Unknown
RAU TRADE,3677,Unknown
RAY GOLDEN02,3677,Unknown
RAY_mobile,3677,Unknown
RBS Phone,3677,Unknown
REAL-PRICE.kz,3677,Unknown
RKtel,3677,Unknown
RN online store,3677,Unknown
ROSE PHONE,3677,Unknown
RRR Group KZ,3677,Unknown
RRR_Shop,3677,Unknown
RS Mobile,3677,Unknown
RSHOPPING KZ,3677,Unknown
Rayyan Group,3677,Unknown
Real Choice,3677,Unknown
Realme Official Store,3677,Unknown
Rich tell,3677,Unknown
RichPhone,3677,Unknown
SAB_Phones,3677,Unknown
SAMSTORE,3677,Unknown
SAMSUNG ELECTRONICS KAZAKHSTAN,3677,Unknown
SAQ PHONE,3677,Unknown
SCREEN-SHOT,3677,Unknown
SD Market,3677,Unknown
SH,3677,Unknown
SMART,3677,Unknown
SMART 2025,3677,Unknown
SMART SERVICES,3677,Unknown
SMART.CENTRE,3677,Unknown
SMARTPHONE_KRG,3677,Unknown
SNEL - американский бренд,3677,Unknown
SSSMobila,3677,Unknown
Sale. Kz,3677,Unknown
SalemMART,3677,Unknown
Sali Tel,3677,Unknown
Sancell.,3677,Unknown
Sancell.1,3677,Unknown
Sancell.kz,3677,Unknown
Sauda24.kz,3677,Unknown
Service Pack Original,3677,Unknown
Sezim,3677,Unknown
Sim Phone,3677,Unknown
Smart Sapa,3677,Unknown
Smart Space,3677,Unknown
Smart Technology,3677,Unknown
SmartHan,3677,Unknown
SmartLife,3677,Unknown
Smart_Market,3677,Unknown
Smart_kz,3677,Unknown
Smart_Лидер,3677,Unknown
Smartalmaty,3677,Unknown
Smartshop,3677,Unknown
Smartteh,3677,Unknown
SpeedCubes.kz,3677,Unknown
Star.market,3677,Unknown
Sulpak,3677,Unknown
SuperSale,3677,Unknown
Svyaznoi,3677,Unknown
TARGET.KZ,3677,Unknown
TECHNO-VISION,3677,Unknown
TECHNOMAG,3677,Unknown
TECHNOMARKET.KZ,3677,Unknown
TECHNO_LIFE,3677,Unknown
TEZ-STORE,3677,Unknown
TandT Service,3677,Unknown
Tannur,3677,Unknown
Tanuki,3677,Unknown
TeLena mobile store,3677,Unknown
Tech I,3677,Unknown
Tech.Kz,3677,Unknown
TechMarket,3677,Unknown
Techno Retail,3677,Unknown
Techno UBR,3677,Unknown
TechnoDom.kz,3677,Unknown
TechnoLider,3677,Unknown
Techno_hub,3677,Unknown
Technocom.kz,3677,Unknown
TechoHub.,3677,Unknown
Tecno официальный магазин,3677,Unknown
Tegin,3677,Unknown
TehnoFon,3677,Unknown
TelMarket,3677,Unknown
Telefonika,3677,Unknown
Telena Mobile Store 2,3677,Unknown
Tomiris Gold,3677,Unknown
